url,frequency
http://www.nytimes.com/2013/04/22/business/royalty-exchange-lets-musicians-sell-royalty-income-to-investors.html,2
http://www.nytimes.com/2013/04/17/sports/football/browns-owner-jimmy-haslams-business-is-under-investigation.html,2
http://www.nytimes.com/2012/09/11/business/global/coming-of-age-tale-for-chinese-cinema.html,2
http://www.nytimes.com/2012/09/03/business/global/03iht-manager03.html,2
http://www.nytimes.com/2008/07/25/business/worldbusiness/25iht-steel.4.14798463.html,2
http://www.nytimes.com/2011/11/23/business/economy/financial-finger-pointing-turns-to-regulators.html,2
http://www.nytimes.com/2011/01/31/business/media/31pepsi.html,2
http://www.nytimes.com/2013/04/18/business/media/disney-amc-theaters-dispute-breaks-into-public.html,2
http://www.nytimes.com/2008/07/26/business/yourmoney/26money.html,2
http://www.nytimes.com/2008/07/28/business/media/28adnewsletter1.html,2
http://www.nytimes.com/2008/07/29/business/29indymac.html,2
http://www.nytimes.com/2013/04/15/business/media/more-cracks-in-televisions-business-model.html,2
http://www.nytimes.com/2008/07/30/business/30bags.html,2
http://www.nytimes.com/2013/04/16/business/media/tena-tries-fresh-terms-for-a-delicate-topic.html,2
http://www.nytimes.com/2012/09/21/business/media/kfc-taco-bell-and-pizza-hut-continue-campaign-for-hunger-relief.html,2
http://www.nytimes.com/2013/04/16/business/public-pours-scorn-on-airport-body-scanners.html,2
http://www.nytimes.com/2013/04/05/business/want-to-innovate-get-ready-to-kiss-some-frogs.html,2
http://www.nytimes.com/2011/11/12/business/media/CNN-documentary-sets-off-debate-on-race-and-technology.html,2
http://www.nytimes.com/2013/04/13/business/global/chateau-latour-breaks-with-a-bordeaux-tradition.html,2
http://www.nytimes.com/2011/03/28/theater/reviews/how-to-succeed-in-business-with-daniel-radcliffe-review.html,2
http://www.nytimes.com/2013/04/23/business/global/strike-grounds-most-lufthansa-flights.html,2
http://www.nytimes.com/2008/07/07/business/media/07dove.html,2
http://www.nytimes.com/2008/07/27/business/media/27agent.html,2
http://www.nytimes.com/2013/05/01/business/joint-venture-with-china-lifts-pfizers-earnings.html,2
http://www.nytimes.com/2012/09/12/business/retirementspecial/medicare-fraud-victimizes-patients-and-taxpayers.html,2
http://www.nytimes.com/2013/04/29/business/media/bombings-trip-up-reddit-in-its-turn-in-spotlight.html,2
http://www.nytimes.com/2012/09/11/business/global/in-russia-chinese-run-farms-solve-each-sides-needs.html,2
http://www.nytimes.com/2011/11/04/business/couple-donates-150-million-to-help-end-poverty.html,2
http://www.nytimes.com/2011/11/17/business/economy/as-graduates-move-back-home-economy-feels-the-pain.html,2
http://www.nytimes.com/2012/09/07/business/global/bain-capital-matches-bid-for-struggling-billabong.html,2
http://www.nytimes.com/2013/04/11/business/a-dismissal-raises-questions-about-objectivity-on-food-policy.html,2
http://www.nytimes.com/2011/11/21/business/eylea-a-vision-drug-wins-long-sought-approval.html,2
http://www.nytimes.com/2013/04/01/business/media/gasoline-brand-urges-drivers-to-stop-honkaholism.html,2
http://www.nytimes.com/2008/07/24/business/smallbusiness/24sba.html,2
http://www.nytimes.com/2013/04/26/business/media/spinmedia-buys-vibe-magazine.html,2
http://www.nytimes.com/2008/07/18/business/worldbusiness/18iht-18toypaint.14602321.html,2
http://www.nytimes.com/imagepages/2012/09/04/business/DROUGHT-3.html,2
http://www.nytimes.com/2008/07/26/business/media/26radio.html,2
http://www.nytimes.com/2013/04/02/business/economy/rumors-of-a-cheap-energy-jobs-boom-remain-just-that.html,2
http://www.nytimes.com/2008/07/31/business/economy/31jobs.html,2
http://www.nytimes.com/2008/07/30/business/worldbusiness/30trade.html,2
http://www.nytimes.com/2008/07/10/business/smallbusiness/10sbiz.html,2
http://www.nytimes.com/2009/10/08/business/smallbusiness/08contractsside.html,2
http://www.nytimes.com/2008/07/14/business/worldbusiness/14beer.html,2
http://www.nytimes.com/2012/09/29/business/energy-environment/communities-curb-use-of-paper-and-plastic-shopping-bags.html,2
